CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,default,application_year,application_month
greater_200,7,credits_paid_to_date,car_used,387,less_100,4_to_7,3,male,none,1,savings_insurance,47,none,rent,1,skilled,1,none,yes,0,2023,1
no_checking,28,prior_payments_delayed,radio_tv,10223,500_to_1000,less_1,3,male,none,5,car_other,32,none,own,2,management_self-employed,1,none,yes,0,2022,9
no_checking,18,credits_paid_to_date,retraining,3669,less_100,1_to_4,4,male,co-applicant,3,savings_insurance,36,none,own,1,skilled,1,yes,yes,1,2022,2
greater_200,10,all_credits_paid_back,car_new,2405,less_100,1_to_4,4,female,none,3,car_other,49,none,own,2,skilled,2,yes,yes,0,2023,3
less_0,6,prior_payments_delayed,car_used,2921,less_100,1_to_4,3,male,none,1,real_estate,21,none,rent,1,skilled,1,none,yes,0,2023,9
less_0,11,no_credits,car_new,2936,less_100,less_1,2,female,none,3,car_other,31,stores,own,1,skilled,1,none,yes,0,2022,1
no_checking,17,credits_paid_to_date,furniture,2523,less_100,1_to_4,3,female,none,2,real_estate,32,none,own,2,skilled,1,yes,yes,0,2022,11
0_to_200,18,prior_payments_delayed,furniture,250,500_to_1000,4_to_7,3,male,none,1,savings_insurance,19,none,own,2,skilled,2,yes,yes,0,2021,5
greater_200,6,credits_paid_to_date,car_used,250,less_100,4_to_7,4,male,none,3,savings_insurance,49,none,rent,2,skilled,1,none,yes,0,2021,7
0_to_200,31,credits_paid_to_date,radio_tv,4949,less_100,4_to_7,4,female,none,5,unknown,58,stores,own,2,skilled,1,yes,yes,0,2021,10
no_checking,27,outstanding_credit,repairs,4342,500_to_1000,4_to_7,4,male,none,2,unknown,29,none,own,1,skilled,1,yes,yes,0,2022,1
no_checking,39,credits_paid_to_date,appliances,3931,100_to_500,4_to_7,4,female,none,2,savings_insurance,41,none,own,1,skilled,1,none,yes,0,2022,9
no_checking,12,prior_payments_delayed,car_used,1525,greater_1000,1_to_4,4,male,none,4,real_estate,33,none,own,1,management_self-employed,1,yes,yes,0,2022,1
no_checking,6,prior_payments_delayed,radio_tv,2671,greater_1000,greater_7,4,male,none,5,car_other,33,none,own,1,skilled,1,none,yes,0,2024,11
no_checking,18,prior_payments_delayed,car_used,9058,100_to_500,1_to_4,3,male,none,5,car_other,43,none,free,2,management_self-employed,1,none,yes,0,2023,8
less_0,11,credits_paid_to_date,furniture,964,500_to_1000,1_to_4,3,male,none,1,real_estate,19,none,own,1,skilled,1,none,yes,0,2024,10
no_checking,33,prior_payments_delayed,other,7399,500_to_1000,1_to_4,4,male,none,4,savings_insurance,42,none,own,2,management_self-employed,1,none,yes,0,2022,12
less_0,12,all_credits_paid_back,furniture,827,less_100,less_1,1,female,none,1,car_other,30,bank,own,1,unemployed,1,none,yes,0,2022,8
0_to_200,18,credits_paid_to_date,radio_tv,3561,less_100,less_1,4,male,none,2,savings_insurance,20,none,own,1,skilled,1,none,yes,0,2021,9
0_to_200,6,prior_payments_delayed,car_used,250,less_100,less_1,2,female,none,1,savings_insurance,19,bank,rent,2,unskilled,1,none,yes,0,2022,12
greater_200,41,all_credits_paid_back,car_used,5166,less_100,4_to_7,2,male,none,1,savings_insurance,30,none,own,2,skilled,2,yes,yes,0,2022,2
no_checking,7,no_credits,car_new,250,less_100,1_to_4,2,female,none,4,real_estate,48,none,own,2,management_self-employed,2,none,yes,0,2023,1
less_0,18,credits_paid_to_date,car_new,1083,less_100,1_to_4,2,female,none,2,savings_insurance,44,stores,own,1,skilled,1,none,yes,0,2023,2
no_checking,19,prior_payments_delayed,car_used,8441,100_to_500,1_to_4,3,male,none,5,car_other,34,none,free,2,management_self-employed,2,none,yes,0,2022,1
0_to_200,14,credits_paid_to_date,furniture,3773,less_100,less_1,1,female,co-applicant,4,savings_insurance,48,none,own,1,skilled,1,yes,yes,1,2021,12
less_0,16,prior_payments_delayed,car_new,1068,less_100,1_to_4,2,male,none,2,savings_insurance,43,none,own,3,skilled,1,yes,yes,1,2023,5
no_checking,23,outstanding_credit,car_used,5146,500_to_1000,1_to_4,1,male,none,2,car_other,40,none,own,1,skilled,2,yes,yes,1,2022,3
less_0,15,outstanding_credit,vacation,2463,500_to_1000,greater_7,2,male,none,4,real_estate,39,none,rent,2,unskilled,1,yes,no,0,2022,5
less_0,6,prior_payments_delayed,furniture,1797,less_100,4_to_7,3,male,none,1,real_estate,31,none,rent,2,skilled,1,none,yes,0,2024,7
0_to_200,20,credits_paid_to_date,car_new,2027,less_100,4_to_7,1,male,none,4,real_estate,37,none,own,1,management_self-employed,1,none,yes,0,2021,1
less_0,13,outstanding_credit,repairs,250,unknown,1_to_4,2,male,co-applicant,2,car_other,28,stores,rent,2,unemployed,2,yes,no,0,2024,7
no_checking,20,all_credits_paid_back,furniture,250,less_100,4_to_7,2,male,none,1,savings_insurance,26,none,rent,1,skilled,1,none,yes,0,2022,12
0_to_200,17,prior_payments_delayed,furniture,2867,100_to_500,1_to_4,4,male,none,2,car_other,41,none,own,2,management_self-employed,1,none,yes,1,2021,2
0_to_200,16,credits_paid_to_date,furniture,2197,less_100,unemployed,3,female,none,1,real_estate,44,none,own,1,skilled,1,none,yes,0,2021,3
0_to_200,19,prior_payments_delayed,car_new,5020,100_to_500,1_to_4,3,male,none,2,car_other,33,none,rent,2,management_self-employed,1,none,yes,0,2022,5
0_to_200,11,credits_paid_to_date,furniture,2756,less_100,less_1,2,female,co-applicant,3,savings_insurance,36,none,own,1,skilled,1,yes,yes,1,2022,9
no_checking,38,outstanding_credit,radio_tv,9174,unknown,greater_7,3,male,co-applicant,4,unknown,50,stores,own,2,unemployed,2,yes,yes,1,2022,2
no_checking,27,outstanding_credit,repairs,2978,greater_1000,greater_7,4,male,none,3,car_other,45,none,own,1,skilled,2,yes,yes,1,2022,9
0_to_200,6,all_credits_paid_back,car_used,1718,less_100,unemployed,3,female,none,2,real_estate,19,none,rent,1,management_self-employed,1,none,yes,0,2023,11
