Feature,Mean_SHAP
Age,0.61666566
LoanAmount,0.4808485
OthersOnLoan,0.41766337
LoanPurpose,0.3480216
Sex,0.32770017
CreditHistory,0.3066357
OwnsProperty,0.2862355
ExistingSavings,0.25076044
EmploymentDuration,0.24029985
CheckingStatus,0.23329552
LoanDuration,0.21990573
Housing,0.2173092
Dependents,0.19287574
CurrentResidenceDuration,0.17026216
age_loan_ratio,0.16116947
ExistingCreditsCount,0.13450828
Telephone,0.13325146
InstallmentPlans,0.11255609
Job,0.106680796
loan_per_month,0.08688532
ForeignWorker,0.024435112
credit_burden,0.012398093
InstallmentPercent,0.011285128
